,variable,value
2952,ASSISTANCE PUBLIQUE HOPITAUX DE PARIS,ASSISTANCE PUBLIQUE HÔPITAUX DE PARIS
2953,ASSOBIOPLASTICHE SERVIZI SOCIETA A RESPONSABILITA LIMITATA,ASSOIOPLASTIC SERVICES LIMITED LIABILITY COMPANY
2954,ASSOC. DE PRODUCTORES Y COMERCIALIZADORES DE LA TOMATA DE PENJAR DALCALA DE XIVERT,Assoc. Of producers and marketers of the tomato of hanging Dalcala de Xivert
2955,ASSOCIACAO A3S,Association A3S
2956,ASSOCIACAO ANTONIO VIEIRA,Association Antonio Vieira
2957,ASSOCIACAO BLC3-CAMPUS DE TECNOLOGIA E INOVACAO,Association BLC3-Campus technology and innovation
2958,ASSOCIACAO BRASILEIRA DAS INSTITUICOES DE PESQUISA TECNOLOGICA E INOVACAO,Brazilian association of technological and innovation research institutions
2959,Associação CCG/ZGDV - Centro de Computação Gráfica,CCG / ZGDV Association - Graphic Computing Center
2960,ASSOCIACAO COMERCIAL DE LISBOA-CAMARA DE COMERCIO E INDUSTRIA PORTUGUESA,Commercial Association of Lisbon-Camara de Comercio and Portuguese Industry
2961,ASSOCIACAO COMERCIAL E INDUSTRIAL DO FUNCHAL - CAMARA DE COMERCIO E INDUSTRIA DA MADEIRA,COMMERCIAL AND INDUSTRIAL INDUSTRIAL ASSOCIAO - CAMARA DE COMERCIO AND MADEIRA INDUSTRIA
2962,ASSOCIACAO DA HOTELARIA RESTAURACAO E SIMILARES DE PORTUGAL,Association of Hospitality Restauracao and the like of Portugal
2963,ASSOCIACAO DE MUNICIPIOS DA REGIAO AUTONOMA DOS ACORES,Association of municipalities of the autonomous region of acores
2964,ASSOCIACAO DE MUNICIPIOS DO VALE DO AVE,Association of municipalities of the valley of the bird
2965,Associação de Professores de Expressão e Comunicação Visual,Association of expression teachers and visual communication
2966,ASSOCIACAO DO INSTITUTO SUPERIOR TECNICO PARA A INVESTIGACAO E DESENVOLVIMENTO,Association of the Technical Institute for Investigation and Development
2967,ASSOCIACAO EMPRESARIAL DE PORTUGAL,Corporate Association of Portugal
2968,ASSOCIACAO FEMININA DE EDUCACAO E COMBATE AO CANCER,Feminine Association of Education and Cancer Combat
2969,ASSOCIACAO FRAUNHOFER PORTUGAL RESEARCH,Association Fraunhofer Portugal Research
2970,ASSOCIACAO GEOPARK ESTRELA,Associating geopark star
2971,"ASSOCIACAO IN LOCO, DE INTERVENCAO,FORMACAO E ESTUDOS PARA O DESENVOLVIMENTO LOCAL","Association in loco, intervention, formation and studies for local development"
2972,ASSOCIACAO INCD,InCD Association
2973,ASSOCIACAO INDUSTRIAL DO MINHO,Industrial Minho Association
2974,ASSOCIACAO INDUSTRIAL PORTUGUESA -CAMARA DE COMERCIO E INDUSTRIA AIPCCI,Portuguese Industrial Association -Camara de Comercio and AIPCCI Industria
2975,ASSOCIACAO NACIONAL DE PESQUISA E DESENVOLVIMENTO DAS EMPRESAS INOVADORAS - ANPEI,National Association for Research and Development of Innovative Companies - Anpei
2976,ASSOCIACAO OCEANO VERDE LABORATORIO COLABORATIVO PARA O DESENVOLVIMENTO DE TECNOLOGIAS E PRODUTOS VERDES DO OCEANO,Association Green Ocean Collaborative laboratory for the development of green ocean technologies and products
2977,ASSOCIACAO PARA AS CIENCIAS DO MAR APCM,Association for APCM Sea Sciences
2978,Associação para Investigação e Desenvolvimento da Faculdade de Medicina,Association for Research and Development of the Faculty of Medicine
2979,ASSOCIACAO PARA O DESENVOLVIMENTO DA INVESTIGACAO NO INSTITUTO SUPERIOR DE GESTAO,Association for the development of investigation at the Superior Institute of Management
2980,ASSOCIACAO PARA O DESENVOLVIMENTO DO ATLANTIC INTERNATIONAL RESEARCH CENTRE,Association for the development of Atlantic International Research Center
2981,ASSOCIACAO PARA O ESTUDO E INTEGRACAO PSICOSOCIAL,Association for study and psychosocial integration
2982,ASSOCIACAO PARANAENSE DE CULTURA APC,Association Paraná de Cultura APC
2983,ASSOCIACAO PARQUE DE CIENCIA E TECNOLOGIA DE ALMADA/SETUBAL-MADAN PARQUE,Association Science Park and Almada Technology / Setubal-Madan Park
2984,ASSOCIACAO PORTO BUSINESS SCHOOL (PBS)- U. PORTO,Associacao Porto Business School (PBS) - U. Porto
2985,ASSOCIACAO PORTO DIGITAL,Association Port Digital
2986,ASSOCIACAO PORTUGUESA DA INDUSTRIA SOLAR,Portuguese Association of Solar Industry
2987,ASSOCIACAO PORTUGUESA DAS EMPRESASDO SECTOR FOTOVOLTAICO,Portuguese Association of Enterprise Photovoltaic Sector
2988,ASSOCIACAO PORTUGUESA DOS INDUSTRIAIS DE MARMORES E RAMOS AFINS,Portuguese Association of Industrials of Marmores and Former Branches
2989,ASSOCIACAO PRO ENSINO SUPERIOR EM NOVO HAMBURGO,Association for higher education in Novo Hamburgo
2990,ASSOCIACAO PROTECTORA DOS DIABETICOS DE PORTUGAL,Diabetic Protective Associacao
2991,ASSOCIACAO TECNICO CIENTIFICA ESTUDO COLABORATIVO LATINO AMERICANO DE MALFORMACAO CONGENITAS,Association Technician Scientific Congenital Latin Latin Collaborative Study
2992,ASSOCIACAO TEXTIL E VESTUARIO DE PORTUGAL,Association Textile and Vacation of Portugal
2993,ASSOCIACAO UNIVERSIDADE EMPRESA PARA DESENVOLVIMENTO TECMINHO,Association University Company for Development Tecminho
2994,ASSOCIACIO AEI INNOVI (AGRUPACIO EMPRESARIAL INNOVADORA),Association AEI Innovi (Innovative Business Association)
2995,ASSOCIACIO AGRUPACIO DEMPRESES INNOVADORES TEXTILS,Associacio Group of innovative textiles companies
2996,ASSOCIACIO CATALANA D INNOVACIO DELSECTOR CARNI PORCI INNOVACC,Catalan Association of Innovation Delivator Carni Porci Innovacc
2997,Associacio Catalana dEmpreses de Biotecnologia,Catalan Association Biotechnology Nesses
2998,ASSOCIACIO CATALANA DENGINYERIA SENSE FRONTERES,Catalan Association Differing without Borders
2999,ASSOCIACIO CATALANA DUNIVERSITATS PUBLIQUES,Catalan Association Public Diversities
3000,ASSOCIACIO CATALANA DE COMUNICACIOCIENTIFICA,Catalan Association of Communication
3001,ASSOCIACIO CLUSTER DE LA BIOENERGIA DE CATALUNYA,Associacio Cluster de la Bioenergia de Catalunya
3002,ASSOCIACIO CLUSTER DIGITAL DE CATALUNYA,Associacio Cluster Digital de Catalunya
3003,ASSOCIACIO GEOPARC CONCA DE TREMP -MONTSEC,Associacio Geoparc Conca de Tremp -Montsec
3004,ASSOCIACIO LIMA-LOW IMPACT MEDITERRANEAN ARCHITECTURE,Association Lima-Low Impact Mediterranean Architecture
3005,ASSOCIACIO NOVACT,Associacio Novact
3006,ASSOCIACIO OPEN CULTURAL CENTER,Association Open Cultural Center
3007,ASSOCIACIO RAIL GRUP,Associacio Rail Grupo
3008,"ASSOCIACIO SUBMON: DIVULGACIO, ESTUDI I CONSERVACIO DE LENTORN NATURAL","Association Submon: Divulgation, Study and Conservation of Natural Lentorn"
3009,ASSOCIACION TETUAN VALLEY,Association Tetuan Valley
3010,ASSOCIAT TECHNIQUE ENERGIE ENVIRONNEMENT,Technical Associat Energy Environment
3011,ASSOCIATION  EUROPEENNE EURISY,European Association Eurisy
3012,ASSOCIATION 2 INVESTING INITIATIVE,ASSOCIATION 2 INVESTING INITIATIVE
3013,ASSOCIATION AFRICAINE DE LEAU (AAE),African Water Association (AAE)
3014,ASSOCIATION ALLIANCE EUROPEENNE ENRADIOECOLOGIE,Association Alliance Europeenne Enradioecologie
3015,ASSOCIATION ARCS TUNISIE,ARCS TUNISIA association
3016,ASSOCIATION ASTECH PARIS REGION,Association Astech Paris Region
3017,Association ATRIUM Architecture of Totalitarian Regimes in Europes Urban Memory,Association ATRIUM Architecture of Totalitarian Regimes in Europe's Urban Memory
3018,ASSOCIATION CAP SCIENCES-CENTRE DE CULTURE SCIENTIFIQUE TECHNIQUE ET INDUSTRIELLE BORDEAUX-AQUITAINE,CAP Sciences Association Technical and Industrial Scientific Culture Center Bordeaux-Aquitaine
3019,ASSOCIATION CARA,Method Association
3020,ASSOCIATION CATEL CLUB DES ACTEURS DE LA TELEMEDECINE,Catel Club Association of Telemedecin Actors
3021,ASSOCIATION CETI (CENTRE EUROPEEN DES TEXTILES INNOVANTS),Ceti Association (European Center for Innovative Textiles)
3022,ASSOCIATION COMITE NATIONAL FRANCAIS DU CTIF (COMITE TECHNIQUE INTERNATIONAL DE PREVENTION ET D EXTINCTION DU FEU),ENGLISH NATIONAL COMMITTEE FRENCH COMMITTEE OF CTIF (International Technical Committee for Prevention and Fire Extinguishing)
3023,ASSOCIATION COMPAZ,ASSOCIATION COMPAZ
3024,ASSOCIATION DEUREKA,ASSOCIATION DEUREKA
3025,Association de Coordination Technique Agricole,Agricultural Technical Coordination Association
3026,ASSOCIATION DE COORDINATION TECHNIQUE POUR LINDUSTRIE AGROALIMENTAIRE,Technical Coordination Association for Agribusiness Industry
3027,ASSOCIATION DE LA PLATEFORME EUROPENNE NERIS,Association of the European Platform Neris
3028,ASSOCIATION DE LA TECHNOLOGIE DE SANTE A SFAX,Association Dela Techno Log IE des Ant Eas Fax
3029,ASSOCIATION DE PREFIGURATION DE L INSTITUT DEXCELLENCE DES ENERGIES DECARBONEES (IEED) FRANCE ENERGIES MARINES,Prefiguration Association of the Dexcellence Institute of Energies Decarbone (IEED) France Marine Energies
3030,ASSOCIATION DEPARTEMENTALE POUR LINFORMATION SUR LE LOGEMENT DE LA HAUTE-GARONNE ADIL 31,Departmental Association for Linformation on Housing of Haute-Garonne Adil 31
3031,ASSOCIATION DES AGENCES DE LA DEMOCRATIE LOCALE,Association of Local Democracy Agencies
3032,ASSOCIATION DES AMIS DE LA MEDECINE SOCIALE,Association of Friends of Social Medicine
3033,ASSOCIATION DES CHAMBRES DAGRICULTURE DE LARC ATLANTIQUE,Association of Larc Atlantic Chambiculties
3034,ASSOCIATION DES CONSOMMATEURS TEST-ACHATS SCRL,Consumer Association Test-Purchasing Scrl
3035,ASSOCIATION DES ETATS GENERAUX DES ETUDIANTS DE LEUROPE,Association of GENERAL STATES OF STUDENTS OF SPECO
3036,ASSOCIATION DES OPERATEURS POSTAUXPUBLICS EUROPEENS,Association of EUROPEAN POSTUBLIC OPERATORS
3037,ASSOCIATION DES REGIONS EUROPEENNESDES PRODUITS DORIGINE,Association of European Regions Dorigine Products
3038,ASSOCIATION DES VILLES ET REGIONS POUR LA GESTION DURABLE DES RESSOURCES,Cities Association and Regions for Sustainable Resource Management
3039,ASSOCIATION DU POLE DE COMPETITIVITE TRANSACTIONS ELECTRONIQUES SECURISEES (APTES),Competitive Pole Association Securized Electronic Transactions (capable)
3040,ASSOCIATION DU RESEAU GRAND OUEST DEVELOPPEMENT DURABLE ET COMMANDE PUBLIQUE,NETWORK ASSOCIATION GRAND WEST SUSTAINABLE DEVELOPMENT AND PUBLIC ORDER
3041,ASSOCIATION ECO OCEAN,ASSOCIATION ECO OCEAN
3042,ASSOCIATION EISBM,ASSOCIATION EISBM
3043,ASSOCIATION EURIPIDES,ASSOCIATION EURIPIDES
3044,ASSOCIATION EUROBIOMED,Association Eurobiomed
3045,ASSOCIATION EUROPEAN FEDERATION FORMEDICAL INFORMATICS,ASSOCIATION EUROPEAN FEDERATION FOR MEDICAL INFORMATICS
3046,ASSOCIATION EUROPEAN OPTICAL SOCIETY,ASSOCIATION EUROPEAN OPTICAL SOCIETY
3047,ASSOCIATION EUROPEAN-UKRAINIAN ENERGY AGENCY,ASSOCIATION EUROPEAN-UKRAINIAN ENERGY AGENCY
3048,ASSOCIATION EUROPEENNE DE LENERGIE DE LOCEAN,EUROPEAN ASSOCIATION OF LENEAN LEINERGY
3049,ASSOCIATION EUROPEENNE DE LINDUSTRIE DES EQUIPEMENTS ET DES SERVICES DE TRANSMISSION ET DE DISTRIBUTION DELECTRICITE AISBL,EUROPEAN ASSOCIATION OF THE INDUSTRY AND TRANSMISSION AND DISTRIBUTION SERVICES AND DISTRIBUTION SERVICES AISBL
3050,ASSOCIATION EUROPEENNE DE LUNIVERSITE,Artienve Euroveriens and Musiveard
3051,ASSOCIATION EUROPEENNE DE LA PETITE HYDRAULIQUE AISBL,EUROPEAN ASSOCIATION OF LITTLE HYDRAULIC AISBL
3052,ASSOCIATION EUROPEENNE DE PSYCHIATRIE,EUROPEAN PSYCHIATRY ASSOCIATION
3053,ASSOCIATION EUROPEENNE DES AGENCES DE DEVELOPPEMENT,EUROPEAN ASSOCIATION OF DEVELOPMENT AGENCIES
3054,ASSOCIATION EUROPEENNE DES CONCESSIONNAIRES DAUTOROUTES ET DOUVRAGESA PEAGE,EUROPEAN ASSOCIATION OFAUTOROUS DEALERS AND DOULTSA FRAGE
3055,ASSOCIATION EUROPEENNE DES EXPOSITIONS SCIENTIFIQUES TECHNIQUES ET INDUSTRIELLES,EUROPEAN Association of Technical and Industrial Scientific Exhibitions
3056,ASSOCIATION EUROPEENNE DES FOURNISSEURS AUTOMOBILES,European Association of Automotive Suppliers
3057,ASSOCIATION EUROPEENNE DES LIGUES CONTRE LE CANCER ASBL,EUROPEAN ASSOCIATION OF THE LEAGUES AGAINST CANCER ASBL
3058,ASSOCIATION EUROPEENNE DES RADIOS,European Radio Association
3059,ASSOCIATION EUROPEENNE DES RECYCLEURS DE PLASTIQUES,EUROPEAN ASSOCIATION PLASTIC RECYCLERS
3060,ASSOCIATION EUROPEENNE DES VEHICULES ELECTRIQUES ROUTIERS,EUROPEAN ASSOCIATION OF ROAD ELECTRIC VEHICLES
3061,ASSOCIATION EUROPEENNE POUR LINFORMATION SUR LE DEVELOPPEMENT LOCAL,EUROPEAN ASSOCIATION FOR LOCAL DEVELOPMENT INFORMATION
3062,ASSOCIATION EUROPEENNE POUR LA COORDINATION DE LA REPRESENTATION DES CONSOMMATEURS POUR LA NORMALISATION,EUROPEAN Association for Coordination of Consumer Representation for Standardization
3063,ASSOCIATION EUROPEENNE POUR LA MALADIE DE PARKINSON,EUROPEAN ASSOCIATION FOR PARKINSON DISEASE
3064,ASSOCIATION EUROPEENNE POUR LA PROTECTION DES CULTURES - EUROPEAN CROP PROTECTION ASSOCIATION - EUROPAISCHER PFLANZENSCHUTZVERBAND,European Association for Crop Protection - European Crop Protection Association - EUROPEAcher Pflanzenschutzverband
3065,ASSOCIATION FEDERATION HANDICAP INTERNATIONAL,ASSOCIATION FEDERATION HANDICAP INTERNATIONAL
3066,ASSOCIATION FOR PROGRESSIVE COMMUNICATIONS,ASSOCIATION FOR PROGRESSIVE COMMUNICATIONS
3067,ASSOCIATION FOR SUSTAINABLE INNOVATIVE DEVELOPMENTS IN ECONOMICS ENVIRONMENT AND SOCIETY,ASSOCIATION FOR SUSTAINABLE INNOVATIVE DEVELOPMENTS IN ECONOMICS ENVIRONMENT AND SOCIETY
3068,ASSOCIATION FOR THE ADVANCEMENT OF TISSUE ENGINEERING AND CELL BASED TECHNOLOGIES & THERAPIES,ASSOCIATION FOR THE ADVANCEMENT OF TISSUE ENGINEERING AND CELL BASED TECHNOLOGIES & THERAPIES
3069,ASSOCIATION FOR THE CONSERVATION OF ENERGY,ASSOCIATION FOR THE CONSERVATION OF ENERGY
3070,ASSOCIATION FORUM DES SCIENCES SOCIALES APPLIQUEES,Association Forum of Applied Social Sciences
3071,"ASSOCIATION FRANCAISE D AGROFORESTERIE, DES RACINES ET DES CIMES","French Association of Agroforestry, Roots and Cimes"
3072,ASSOCIATION FRANCAISE DE CRIGLER NAJJAR,Francaise Association to Crigler Najjar
3073,ASSOCIATION FRANCAISE DE NORMALISATION,French Standardization Association
3074,ASSOCIATION FRANCAISE DE ZOOTECHNIE,Association Franc Ais Ede Zoo Tech N IE
3075,ASSOCIATION FRANCAISE DES PROFESSIONNELS DE LA GEOTHERMIE,French Association of Geothermal Professionals
3076,ASSOCIATION FRANCAISE GOUGEROT-SJOGREN,ASSOCIATION FRANCAISE GOUGEROT-SJOGREN
3077,ASSOCIATION FRANCAISE POUR LHYDROGENE ET LES PILES A COMBUSTIBLE,FRENCH ASSOCIATION FOR LHYDOGENE AND FUEL BATTERIES
3078,ASSOCIATION FRANCOIS AUPETIT,Francois Aupetit Association
3079,ASSOCIATION GENERALE DES PRODUCTEURS DE MAIS,General association of producers of but
3080,ASSOCIATION GENETHON,ASSOCIATION GENETHON
3081,ASSOCIATION GREEN RATING ALLIANCE,ASSOCIATION GREEN RATING ALLIANCE
3082,ASSOCIATION GROUPE ESSEC,ESSEC Group Association
3083,ASSOCIATION HELTGRUPER SAMIT- HEALTH AND SOCIAL POLICY RESEARCH SKOPJE,ASSOCIATION HELTGRUPER SAMIT- HEALTH AND SOCIAL POLICY RESEARCH SKOPJE
3084,ASSOCIATION HOSPITALIERE DE BRUXELLES-CENTRE HOSPITALIER UNIVERSITAIRE SAINT PIERRE,Hospital Association of Brussels-University Hospital Saint Pierre
3085,ASSOCIATION IMAGES & RESEAUX,IMAGES & NETWORK ASSOCIATION
3086,ASSOCIATION INDUSTRIES ET AGRO-RESSOURCES,Association Industries and Agro-Resources
3087,ASSOCIATION INTERCOMMUNALE BUREAU ECONOMIQUE DE LA PROVINCE DE NAMUR SCRL,Intercommunal Association Economic Office of the Province of Namur Scrl
3088,ASSOCIATION INTERCOMMUNALE POUR LE DEVELOPPEMENT ECONOMIQUE DURABLE DE LA PROVINCE DE LUXEMBOURG,Intercommunal Association for Sustainable Economic Development of the Province of Luxembourg
3089,ASSOCIATION INTERNATIONALE DE SIGNALISATION MARITIME,International Marine Signalization Association
3090,ASSOCIATION INTERNATIONALE DE STANDARDISATION BIOLOGIQUE POUR LEUROPE(IABS-EU),International Biological Standardization Association for Leope (IABS-EU)
3091,ASSOCIATION INTERNATIONALE EXTREME-LIGHT-INFRASTRUCTURE DELIVERY CONSORTIUM,ASSOCIATION INTERNATIONALE EXTREME-LIGHT-INFRASTRUCTURE DELIVERY CONSORTIUM
3092,ASSOCIATION ISEP - EDOUARD BRANLY,Association ISEP - Branly Edouard
3093,ASSOCIATION JESSICA FRANCE,ASSOCIATION JESSICA FRANCE
3094,ASSOCIATION LASER PHOTONIQUE HYPERFREQUENCES & APPLICATIONS - ALPHA,Photonic Laser Association Hyperfrequences & Applications - Alpha
3095,ASSOCIATION LAVAL MAYENNE TECHNOPOLE,Association Laval Mayenne Technopole
3096,ASSOCIATION LE PRINTEMPS DES COMEDIENS,Association The Spring of Comedians
3097,ASSOCIATION LEONARD DE VINCI,Association Leonard Devin Ci
3098,ASSOCIATION LUCI LIGHTING URBAN COMMUNITY INTERNATIONAL,ASSOCIATION LUCI LIGHTING URBAN COMMUNITY INTERNATIONAL
3099,ASSOCIATION MARIE LANNELONGUE,Association Marie Lannelongue
3100,ASSOCIATION MED-VET-NET DE RECHERCHE SUR LES ZOONOSES,Med-Vet-Net Association of Zoonoses Research
3101,ASSOCIATION MEDICALE EUROPEENNE,EUROPEAN MEDICAL ASSOCIATION
3102,Association Melodi,Association melody
3103,ASSOCIATION MOBSYA,ASSOCIATION MOBSYA
3104,ASSOCIATION MONDIALE DES GRANDES METROPOLES,World Association of Large Metropolles
3105,ASSOCIATION MONDIALE DES RADIODIFFUSEURS COMMUNAUTAIRES - EUROPE,World Association of Community Broadcasters - Europe
3106,ASSOCIATION NATIONALE DE DEVELOPPEMENT DURABLE ET DE LA CONSERVATION DE LA VIE SAUVAGE,National Association of Sustainable Development and the Conservation of Wildlife
3107,ASSOCIATION O.R.T.,Achoichi. R. T.
3108,ASSOCIATION ODESSA HOUSING UNION,ASSOCIATION ODESSA HOUSING UNION
3109,ASSOCIATION OF ARCTIC EXPEDITION CRUISE OPERATORS,ASSOCIATION OF ARCTIC EXPEDITION CRUISE OPERATORS
3110,ASSOCIATION OF BULGARIAN ENERGY AGENCIES (ABEA),ASSOCIATION OF BULGARIAN ENERGY AGENCIES (ABEA)
3111,ASSOCIATION OF COMMONWEALTH UNIVERSITIES,ASSOCIATION OF COMMONWEALTH UNIVERSITIES
3112,ASSOCIATION OF ENGINEERING SOCIETIES ENGINEERING INSTITUTION OF MACEDONIA SKOPJE,ASSOCIATION OF ENGINEERING SOCIETIES ENGINEERING INSTITUTION OF MACEDONIA SKOPJE
3113,ASSOCIATION OF EUROPEAN SCIENCE & TECHNOLOGY TRANSFER PROFESSIONALS,ASSOCIATION OF EUROPEAN SCIENCE & TECHNOLOGY TRANSFER PROFESSIONALS
3114,ASSOCIATION OF GHANA INDUSTRIRES,ASSOCIATION OF GHANA INDUSTRIES
3115,ASSOCIATION OF INFORMATION TECHNOLOGY COMPANIES OF NOTHERN GREECE,ASSOCIATION OF INFORMATION TECHNOLOGY COMPANIES OF NORTHERN GREECE
3116,ASSOCIATION OF ISSUING BODIES,ASSOCIATION OF ISSUING BODIES
3117,ASSOCIATION OF RHODOPE MUNICIPALITIES,ASSOCIATION OF RHODOPE MUNICIPALITIES
3118,Association of Teacher Educators,Association of Teacher Educators
3119,ASSOCIATION OF THE EUROPEAN HEATING INDUSTRY,ASSOCIATION OF THE EUROPEAN HEATING INDUSTRY
3120,ASSOCIATION OF UNIVERSITIES FOR RESEARCH IN ASTRONOMY INC.,ASSOCIATION OF UNIVERSITIES FOR RESEARCH IN ASTRONOMY INC.
3121,ASSOCIATION OF USERS OF UKRAINIAN RESEARCH AND ACADEMIC NETWORK URAN,ASSOCIATION OF USERS OF UKRAINIAN RESEARCH AND ACADEMIC NETWORK URAN
3122,ASSOCIATION PAC-CI,PAC-CI association
3123,ASSOCIATION PEGASE,ASSOCIATION PEGASE
3124,ASSOCIATION PHOSPHENE,ASSOCIATION PHOSPHENE
3125,ASSOCIATION PLATE-FORME TELECOM,Telecom platform association
3126,ASSOCIATION PLATEFORME POUR L INNOVATION,Platform Association for Innovation
3127,ASSOCIATION POLE MER BRETAGNE,Pole Sea Brittany Association
3128,ASSOCIATION POUR LENVIRONNEMENT ET LA SECURITE EN AQUITAINE,Association for Environment and Security in Aquitaine
3129,ASSOCIATION POUR LA COOPERATION ACADEMIQUE - ACADEMIC COOPERATION ASSOCIATION,Association for Academic Cooperation - Academic Cooperation Association
3130,ASSOCIATION POUR LA PROMOTION DES ENERGIES RENOUVELABLES,Association for the promotion of renewable energies
3131,ASSOCIATION POUR LA RECHERCHE ET LE DEVELOPPEMENT DES METHODES ET PROCESSUS INDUSTRIELS,Association for Research and Development of Methods and Industrial Processes
3132,"ASSOCIATION POUR LA RECHERCHE ET LEDEVELOPPEMENT DINNOVATIONS ET DETECHNOLOGIES POUR LA PROTECTION DELHERITAGE ENVIRONNEMENTAL, SOCIAL","Association for Research and Development of Innovations and Detechnologies for Protection Environmental Deterit, Social"
3133,"ASSOCIATION POUR LE DEVELOPPEMENT DE LENSEIGNEMENT ET DES RECHERCHES AUPRES DES UNIVERSITES, DES CENTRES DE RECHERCHE ET DES ENTREPRISES DAQUITAINE","Association for Development of Teaching and Searches for Acivers, Research Centers and Daquitaine companies"
3134,ASSOCIATION POUR LE DEVELOPPEMENT DE LA FORMATION PROFESSIONNELLE DANSLES TRANSPORTS,Association for the Development of Vocational Training in Transport
3135,ASSOCIATION POUR LE DEVELOPPEMENT DES RECHERCHES AUPRES DES UNIVERSITES DE L ACADEMIE DE GRENOBL,Association for the development of research with the academy University of GrenoBl
3136,ASSOCIATION POUR LE DEVELOPPEMENT ECONOMIQUE DE CONQUES,Association for the Economic Development of Conques
3137,ASSOCIATION POUR LE DEVELOPPEMENT ECONOMIQUE DE LA REGION LYONNAISE ADERLY,Association for the Economic Development of the Lyonnaise Region ADERLY
3138,ASSOCIATION POUR LE DEVELOPPEMENT ET LA PROMOTION DU POLE EUROPEEN DELA CERAMIQUE,Association for the Development and Promotion of the EUROPEAN CERAMIC POLE
3139,ASSOCIATION POUR LE REDEPLOIEMENT ECONOMIQUE DU BASSIN SERESIEN - AREBS,Association for the Economic ReDeployment of the SERESIAN BASIN - AREBS
3140,ASSOCIATION POUR UNE GESTION DURABLE DE L ENERGIE,Association for sustainable energy management
3141,ASSOCIATION PROVENCALE DE RECHERCHE ET DEXPERIMENTATION LEGUMIERE,Provencal Association of Research and Legumiere Dexpertimentation
3142,Association R&D MAROC,R & D Association Morocco
3143,ASSOCIATION RACINES,Root association
3144,ASSOCIATION REGIONALE BIOMASSE NORMANDIE,Regional Association Biomass Normandy
3145,ASSOCIATION TRACES THEORIES ET REFLEXIONS SUR L APPRENDRE LA COMMUNICATION ET L EDUCATION SCIENTIFIQUES,Association Traces Theories and Reflections on Learning Communication and Scientific Education
3146,ASSOCIATION TRAME,Association
3147,ASSOCIATION TUNISIENNE DE DEVELOPPEMENT DURABLE: LA RECHERCHE EN ACTION,Tunisian Association of Sustainable Development: Action Research
3148,ASSOCIATION UKRAINIAN AGRIBUSINESSCLUB,ASSOCIATION UKRAINIAN AGRIBUSINESSCLUB
3149,ASSOCIATION WALLONNE DE LELEVAGE,Walloon Association of Lelevage
3150,ASSOCIATIONS FRANCAISE DES POLES DECOMPETITIVITE,FRENCH COMMUNITIES OF POOLS DECOMPETIVITY
3151,ASSOCIAZIONE BASIC INCOME NETWORK ITALIA,Association Basic Income Network Italy
3152,ASSOCIAZIONE BIG DATA,Big Data Association
3153,ASSOCIAZIONE BIO-DISTRETTO DELLA VIA AMERINA E DELLE FORRE,Bio-district Association of Via Amerina and Forse
3154,ASSOCIAZIONE CITTA EUROPEA DEI MESTIERI DARTE,European Cities Association of Crafts
3155,ASSOCIAZIONE CITTADINANZATTIVA ONLUS,Cittadinanzattiva Association Onlus
3156,ASSOCIAZIONE COMITATO COLLABORAZIONE MEDICA,Medical Collaboration Committee Association
3157,ASSOCIAZIONE COMPAGNIA DELLE OPEREDI PESARO,Company Association of Pesaro Management
3158,ASSOCIAZIONE CULTURALE CASTELLI ROMANI GREEN TOUR,Cultural Association Castelli Romani Green Tour
3159,ASSOCIAZIONE CULTURALE COOPERAZIONEINTERNAZIONALE SUD SUD,Cultural association cooperation international South South
3160,ASSOCIAZIONE CULTURALE ZONA,Cultural association area
3161,ASSOCIAZIONE DELLA CROCE ROSSA   ITALIANA,Association of the Italian Red Cross
3162,ASSOCIAZIONE EUROPEA DELLE VIE FRANCIGENE,European Association of Vie Francigene
3163,ASSOCIAZIONE FABBRICA INTELLIGENTE LOMBARDIA,Lombardy intelligent factory association
3164,ASSOCIAZIONE FESTIVAL DELLA SCIENZA,Science Festival Association
3165,ASSOCIAZIONE FRASCATI SCIENZA,Association Frascati Science
3166,ASSOCIAZIONE HAND IN HAND,Hand in Hand Association
3167,ASSOCIAZIONE INDUSTRIALI DELLA PROVINCIA DI SALERNO,Industrial Association of the Province of Salerno
3168,ASSOCIAZIONE INTERNAZIONALE DI ARCHEOLOGIA CLASSICA ONLUS,International Association of Classical Archeology Onlus
3169,ASSOCIAZIONE ITALIANA ALLEVATORI,Italian Association Breeders
3170,ASSOCIAZIONE ITALIANA DEI PROFESSIONISTI PER LA SICUREZZA STRADALE,Italian Association of Road Safety Professionals
3171,"ASSOCIAZIONE ITALIANA DI ELETTROTECNICA, ELETTRONICA, AUTOMAZIONE, INFORMATICA E TELECOMUNICAZIONI","Italian Association of Electrical Engineering, Electronics, Automation, Computer Science and Telecommunications"
3172,ASSOCIAZIONE ITALIANA DIFESA CONSUMATORI ED AMBIENTE,Italian Consumer Defense Association and Environment
3173,"ASSOCIAZIONE ITALIANA MALATI DI CANCRO, PARENTI E AMICI","Italian Association of Cancer, Relatives and Friends"
3174,ASSOCIAZIONE ITALIANA PER L ASSISTENZA AGLI SPASTICI PROVINCIA DI BOLOGNA,Italian Association for Spastic Assistance Province of Bologna
3175,ASSOCIAZIONE ITALIANA PER LAGRICOLTURA BIOLOGICA,Italian Association for Organic Landriculture
3176,ASSOCIAZIONE ITALIANA PER LA RICERCA INDUSTRIALE - AIRI,Italian Association for Industrial Research - Airi
